 ,Unit,Values,Description
hotmaps_industrial_sites,,,
-- source,str,"{archive, primary}","Source of the Hotmaps industrial sites data."
-- version,str,,"Version of the Hotmaps industrial sites data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
enspreso_biomass,,,
-- source,str,"{archive, primary}","Source of the Enspreso biomass data."
-- version,str,,"Version of the Enspreso biomass data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
osm,,,
-- source,str,"{archive, build}","Source of the OSM data. 'archive' retrieves pre-built OSM data, 'build' uses the latest OSM data to build the network."
-- version,str,,"Version of the OSM data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
worldbank_urban_population,,,
-- source,str,"{archive, primary}","Source of the World Bank urban population data."
-- version,str,,"Version of the World Bank urban population data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
gem_europe_gas_tracker,,,
-- source,str,"{archive, primary}","Source of the GEM Europe Gas Tracker data."
-- version,str,,"Version of the GEM Europe Gas Tracker data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
co2stop,,,
-- source,str,"{archive, primary}","Source of the CO2Stop data."
-- version,str,,"Version of the CO2Stop data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
nitrogen_statistics,,,
-- source,str,"{archive, primary}","Source of the Nitrogen Statistics data."
-- version,str,,"Version of the Nitrogen Statistics data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
eu_nuts2013,,,
-- source,str,"{archive, primary}","Source of the EU NUTS 2013 data."
-- version,str,,"Version of the EU NUTS 2013 data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
eu_nuts2021,,,
-- source,str,"{archive, primary}","Source of the EU NUTS 2021 data."
-- version,str,,"Version of the EU NUTS 2021 data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
eurostat_balances,,,
-- source,str,"{archive, primary}","Source of the Eurostat balances data."
-- version,str,,"Version of the Eurostat balances data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
eurostat_household_balances,,,
-- source,str,"{archive, primary}","Source of the Eurostat household balances data."
-- version,str,,"Version of the Eurostat household balances data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
wdpa,,,
-- source,str,"{archive, primary}","Source of the WDPA data."
-- version,str,,"Version of the WDPA data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
wdpa_marine,,,
-- source,str,"{archive, primary}","Source of the WDPA Marine data."
-- version,str,,"Version of the WDPA Marine data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
luisa_land_cover,,,
-- source,str,"{archive, primary}","Source of the LUISA land cover data."
-- version,str,,"Version of the LUISA land cover data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
jrc_idees,,,
-- source,str,"{archive, primary}","Source of the JRC IDEES data."
-- version,str,,"Version of the JRC IDEES data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
scigrid_gas,,,
-- source,str,"{primary, archive}","Source of the SciGRID Gas data."
-- version,str,,"Version of the SciGRID Gas data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
synthetic_electricity_demand,,,
-- source,str,"{primary, archive}","Source of the Synthetic Electricity Demand data."
-- version,str,,"Version of the Synthetic Electricity Demand data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
copernicus_land_cover,,,
-- source,str,"{primary, archive}","Source of the Copernicus Land Cover data."
-- version,str,,"Version of the Copernicus Land Cover data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
ship_raster,,,
-- source,str,"{archive, primary}","Source of the Ship Raster data."
-- version,str,,"Version of the Ship Raster data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
eez,,,
-- source,str,"{archive, primary}","Source of the EEZ data."
-- version,str,,"Version of the EEZ data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
nuts3_population,,,
-- source,str,"{archive, primary}","Source of the NUTS3 population data."
-- version,str,,"Version of the NUTS3 population data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
gdp_per_capita,,,
-- source,str,"{archive, primary}","Source of the GDP per capita data."
-- version,str,,"Version of the GDP per capita data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
population_count,,,
-- source,str,"{archive, primary}","Source of the population count data."
-- version,str,,"Version of the population count data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
ghg_emissions,,,
-- source,str,"{archive, primary}","Source of the GHG emissions data."
-- version,str,,"Version of the GHG emissions data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
gebco,,,
-- source,str,"{archive, primary}","Source of the GEBCO data."
-- version,str,,"Version of the GEBCO data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
attributed_ports,,,
-- source,str,"{archive, primary}","Source of the Attributed Ports data."
-- version,str,,"Version of the Attributed Ports data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
corine,,,
-- source,str,"{archive, primary}","Source of the CORINE data."
-- version,str,,"Version of the CORINE data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
emobility,,,
-- source,str,"{archive, primary}","Source of the Emobility data."
-- version,str,,"Version of the Emobility data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
h2_salt_caverns,,,
-- source,str,"{archive, primary}","Source of the H2 Salt Caverns data."
-- version,str,,"Version of the H2 Salt Caverns data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
lau_regions,,,
-- source,str,"{archive, primary}","Source of the LAU Regions data."
-- version,str,,"Version of the LAU Regions data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
aquifer_data,,,
-- source,str,"{archive, primary}","Source of the Aquifer data."
-- version,str,,"Version of the Aquifer data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
osm_boundaries,,,
-- source,str,"{archive, build}","Source of the OSM Boundaries data."
-- version,str,,"Version of the OSM Boundaries data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
gem_gspt,,,
-- source,str,"{archive, primary}","Source of the Global Steel Plant Tracker data."
-- version,str,,"Version of the Global Steel Plant Tracker data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
tyndp,,,
-- source,str,"{archive, primary}","Source of the TYNDP data."
-- version,str,,"Version of the TYNDP data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
powerplants,,,
-- source,str,"{primary, archive}","Source of the Powerplants data."
-- version,str,,"Version of the Powerplants data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
costs,,,
-- source,str,"{primary, archive}","Source of the Costs data."
-- version,str,,"Version of the Costs data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
country_runoff,,,
-- source,str,"{archive, build}","Source of the Country Runoff data."
-- version,str,,"Version of the Country Runoff data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
country_hdd,,,
-- source,str,"{archive, build}","Source of the Country HDD data."
-- version,str,,"Version of the Country HDD data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
natura,,,
-- source,str,"{archive, build}","Source of the Natura data."
-- version,str,,"Version of the Natura data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
bfs_road_vehicle_stock,,,
-- source,str,"{archive, primary}","Source of the BFS Road Vehicle Stock data."
-- version,str,,"Version of the BFS Road Vehicle Stock data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
bfs_gdp_and_population,,,
-- source,str,"{archive, primary}","Source of the BFS GDP and Population data."
-- version,str,,"Version of the BFS GDP and Population data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
mobility_profiles,,,
-- source,str,"{archive, build}","Source of the Mobility Profiles data."
-- version,str,,"Version of the Mobility Profiles data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
cutout,,,
-- source,str,"{archive, build}","Source of the Cutout data."
-- version,str,,"Version of the Cutout data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
dh_areas,,,
-- source,str,"{archive, primary}","Source of the District Heating Areas data."
-- version,str,,"Version of the District Heating Areas data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source.""
geothermal_heat_utilisation_potentials,,,
-- source,str,"{archive, primary}","Source of the Geothermal Heat Utilisation Potentials data."
-- version,str,,"Version of the Geothermal Heat Utilisation Potentials"
jrc_ardeco,,,
-- source,str,"{archive, primary}","Source of annual regional database for EU regions"
-- version,str,,"Version of the JRC ARDECO dataset"